simulation,a,cor_row_CA1,cor_col_CA1,cor_row_CA3,cor_col_CA3
0,0.0,0.9813164764866329,0.9837448339408364,1.0,1.0
0,0.1,0.9780326401944711,0.980220863161412,0.9957532017170411,0.9940428889059052
0,0.2,0.9742418210518171,0.9763047511020148,0.9781377272547666,0.9713027498685368
0,0.3,0.968038213636563,0.9697631336316739,0.9354538620861685,0.9232816419700998
0,0.4,0.9567924738330801,0.9591905560548482,0.8494506816862668,0.8423603271010418
0,0.5,0.9394073028217369,0.9412457411300728,0.7074003078788335,0.7271060786741648
0,0.6,0.9112947206717922,0.9124943626738421,0.5338249958263064,0.5865003937715353
0,0.7,0.8643853273148986,0.8598139707207317,0.3751909443845845,0.43705611247433945
0,0.8,0.7728656491599112,0.7512662427966673,0.2499449088559391,0.2944056730182814
0,0.9,0.6289363883714905,0.5815948292693143,0.15420951164576982,0.16772063244242316
0,1.0,0.40802758355253105,0.34547794970570644,0.08005071838516921,0.0598316532900614
1,0.0,0.9810330676514493,0.9832850658485964,1.0,1.0
1,0.1,0.9768629085063959,0.9779406241138525,0.9956265648898105,0.9942389008640166
1,0.2,0.969787379121299,0.9717038207456062,0.9773986783455816,0.9715460728250226
1,0.3,0.9557816493159315,0.9568242856690573,0.9327135870590362,0.92134141123041
1,0.4,0.9305849752481453,0.9300595588528622,0.8413505557589075,0.8322167578819842
1,0.5,0.8847538242479306,0.8797903454588518,0.6891707826012429,0.7005546367637582
1,0.6,0.785751814767081,0.7695716638141152,0.5035849605958301,0.5400492800587984
1,0.7,0.6280876862887943,0.5869195207526164,0.33525431590508603,0.3757563063073624
1,0.8,0.4306214971386332,0.3678713489617085,0.20356123338398527,0.22696434739326202
1,0.9,0.2560167731341373,0.20501093752507743,0.10360476268045535,0.10087055537165958
1,1.0,0.11650871713211197,0.09299607098510926,0.026437484629424805,-0.0030152929332534087
2,0.0,0.9846882189667846,0.9863064712838607,1.0,1.0
2,0.1,0.9768964391973798,0.9791120698820651,0.9959886140146922,0.994028871366661
2,0.2,0.9721596355384493,0.9742795654746024,0.9782374515215042,0.9698018076476886
2,0.3,0.9621427271721419,0.9652807383936148,0.9312270480013117,0.9145240722303155
2,0.4,0.9414560163385507,0.9466369109443258,0.826726125115069,0.8138984670418246
2,0.5,0.8958254398550797,0.9009746608915209,0.6416711900820895,0.6631421635046187
2,0.6,0.7945530326840609,0.797583207542423,0.4161030125959663,0.4794069587464789
2,0.7,0.6011969281906294,0.5961705253408832,0.22310356223469555,0.29405558321834024
2,0.8,0.33270747644988363,0.2987407576329852,0.0833653604016655,0.13044285619448662
2,0.9,0.04980494775632732,-0.01970320365979356,-0.015114539073236809,-0.003890911612693243
2,1.0,-0.17219505687225534,-0.2531512771286927,-0.0862623448341681,-0.11098819027512176
3,0.0,0.9878349054928666,0.9887980790001094,1.0,1.0
3,0.1,0.9786330484251178,0.9809652764613983,0.9958735355006699,0.9940944341019379
3,0.2,0.9728149815578222,0.9748880013699871,0.9785094711695065,0.9715502456957242
3,0.3,0.9649086118121708,0.967649121384164,0.9354532192245345,0.9239002198857337
3,0.4,0.9516450818780393,0.9548747949823414,0.8471509204575796,0.8434938527012558
3,0.5,0.9337138733413376,0.9347022621472761,0.7017992869770197,0.7288566978613191
3,0.6,0.8983102735984744,0.8966487023243255,0.5274071632429436,0.5890066724103097
3,0.7,0.836671346184341,0.8293030139676147,0.3705210406724825,0.44052090860746207
3,0.8,0.7348587270939133,0.7185594507829259,0.2475410876207961,0.2989806682732121
3,0.9,0.5690431906730599,0.5268768543542768,0.15345382236196112,0.1733906443001147
3,1.0,0.34209158896684255,0.27311218406649757,0.08011209455453887,0.06642447448953932
4,0.0,0.9837983320963106,0.9852877534291332,1.0,1.0
4,0.1,0.978351579033626,0.9799724972585011,0.9960385541955599,0.9942834090310083
4,0.2,0.9706999547681872,0.9729465547004865,0.9794938507979254,0.9727927779569178
4,0.3,0.9607932462905153,0.9636333091509094,0.9389091014959791,0.9280330344994158
4,0.4,0.9446087303751844,0.9451593266048107,0.8564883246931496,0.8532881977021615
4,0.5,0.9163387248449171,0.9139113023507608,0.7210166406331583,0.7472515958073569
4,0.6,0.8675846697406002,0.8603886267258575,0.5574069342138201,0.6178829612643625
4,0.7,0.7887675669197393,0.7772846633093623,0.40941297533306725,0.4798120293765171
4,0.8,0.6767016109487394,0.6580855052343374,0.2932542029424292,0.34677841489690814
4,0.9,0.5232243787879797,0.4945926952425355,0.20423493319450933,0.22692857538698913
4,1.0,0.34812463366254576,0.30399605689449927,0.13449510789518293,0.12308323713409389
5,0.0,0.9831015709425656,0.9849082089540309,1.0,1.0
5,0.1,0.9776632320157909,0.979522385587874,0.9952029993807934,0.9942952420820662
5,0.2,0.9716617084576779,0.9739873638041432,0.9739745698179332,0.9696031801557269
5,0.3,0.9618476730634563,0.9617939223036379,0.9180584652048217,0.9080717144219431
5,0.4,0.9313550821700217,0.9297531034697158,0.7948770155407795,0.7843062924322396
5,0.5,0.8423884237937135,0.8379117499239227,0.5777978017725492,0.5845080876103845
5,0.6,0.5759911921723253,0.5675560887638779,0.31242787953829326,0.3413834275569872
5,0.7,0.13221563009283294,0.10755714585880777,0.08400130309178347,0.11422984573055073
5,0.8,-0.21513276656698183,-0.2789073317989941,-0.08251092877477749,-0.06711047590695755
5,0.9,-0.42414849646192265,-0.4882489068006198,-0.2003831052479889,-0.2033337107329809
5,1.0,-0.5217442376767666,-0.5787812057989229,-0.28553114767377624,-0.3046425006629679
6,0.0,0.985804319121157,0.9871054406515891,1.0,1.0
