N_patterns,N_iter,Mean_cos_mean,Mean_cos_std
1,50,0.8814366405740421,0.03908994711532463
2,25,0.8646847868548074,0.02856694130513232
3,16,0.866615089545615,0.02391492984468
4,12,0.8635396629308376,0.013644766590585456
5,10,0.8586821206248982,0.013669087380555034
10,5,0.8367937711648393,0.003279999267804219
20,2,0.7969753278341536,0.003747526735698725
50,1,0.7494901046506315,0.0
100,1,0.7360353546419259,0.0
200,1,0.7257466056292258,0.0
500,1,0.7076899768154401,0.0
