,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0.00019,0.00045,0.00022,0.00025,0.00017,0.00031,0.00019,0.00046,0.00021,7e-05,3e-05,0.00047,2e-05,0.0001,0.00023,0.00027,0.00022,0.0003,0.0002,8e-05,0.00022,0.00025,0.00038,0.00032,0.00038,0.00026,0.00017,0.00044,0.00037,0.00044
1,0.00017,0.00025,1e-05,0.00025,0.00016,0.0001,0.00018,0.00027,1e-05,7e-05,2e-05,0.00026,3e-05,0.0001,3e-05,0.00026,1e-05,0.00011,0.00017,7e-05,3e-05,0.00026,0.00019,0.0001,0.00017,0.00024,0.00016,0.00025,0.00018,0.00026
0,1e-05,4e-05,3e-05,1e-05,1e-05,4e-05,2e-05,4e-05,2e-05,0.0,2e-05,4e-05,1e-05,2e-05,3e-05,3e-05,2e-05,4e-05,4e-05,3e-05,4e-05,3e-05,3e-05,2e-05,3e-05,0.0,1e-05,2e-05,0.0,1e-05
0,1e-05,1e-05,3e-05,2e-05,3e-05,4e-05,1e-05,0.0,3e-05,4e-05,2e-05,4e-05,3e-05,2e-05,3e-05,0.0,3e-05,3e-05,1e-05,2e-05,2e-05,4e-05,1e-05,0.0,2e-05,4e-05,3e-05,4e-05,1e-05,3e-05
1,0.00015,0.0,0.00013,4e-05,0.00013,4e-05,0.00016,3e-05,0.00013,2e-05,0.00013,4e-05,0.00014,2e-05,0.00012,3e-05,0.00015,2e-05,0.00016,3e-05,0.00014,2e-05,0.00013,2e-05,0.00013,1e-05,0.00014,0.0,0.00015,0.0
1,2e-05,0.0,1e-05,1e-05,1e-05,3e-05,0.0,4e-05,3e-05,3e-05,1e-05,3e-05,3e-05,2e-05,3e-05,0.0,3e-05,1e-05,4e-05,3e-05,1e-05,0.0,3e-05,4e-05,3e-05,1e-05,3e-05,2e-05,1e-05,4e-05
0,1e-05,1e-05,3e-05,1e-05,0.0,2e-05,2e-05,3e-05,4e-05,2e-05,2e-05,4e-05,4e-05,1e-05,1e-05,2e-05,1e-05,4e-05,4e-05,2e-05,4e-05,3e-05,2e-05,4e-05,2e-05,1e-05,0.0,3e-05,3e-05,3e-05
1,4e-05,2e-05,2e-05,3e-05,2e-05,2e-05,2e-05,2e-05,0.0,0.0,0.0,0.0,2e-05,3e-05,0.0,2e-05,4e-05,3e-05,0.0,1e-05,2e-05,0.0,3e-05,0.0,3e-05,1e-05,2e-05,0.0,2e-05,1e-05
0,4e-05,2e-05,3e-05,1e-05,3e-05,4e-05,2e-05,0.0,3e-05,4e-05,4e-05,3e-05,3e-05,3e-05,4e-05,2e-05,0.0,2e-05,1e-05,1e-05,4e-05,2e-05,4e-05,3e-05,1e-05,2e-05,2e-05,2e-05,4e-05,4e-05
1,3e-05,3e-05,4e-05,0.0,4e-05,1e-05,4e-05,4e-05,1e-05,0.0,1e-05,2e-05,2e-05,2e-05,2e-05,0.0,1e-05,4e-05,0.0,4e-05,3e-05,1e-05,4e-05,4e-05,2e-05,4e-05,4e-05,0.0,1e-05,1e-05
1,0.00542,0.00178,0.00584,0.00064,0.00224,0.00491,0.00615,0.00146,0.00291,0.006,0.00171,0.00303,0.00585,0.00449,0.00156,0.00401,0.00199,0.00561,0.00163,0.00142,0.00381,0.00285,0.00451,0.00494,0.00644,0.00533,0.00557,0.00463,0.00084,0.00337
1,0.00467,0.00217,0.00728,0.00234,0.00441,0.0068,0.00715,0.00257,0.00662,0.00574,0.00235,0.00497,0.00574,0.00523,0.00325,0.00428,0.00356,0.00263,0.00424,0.00193,0.00391,0.00379,0.00608,0.00456,0.00614,0.00385,0.00276,0.00448,0.00065,0.00427
1,0.0,4e-05,2e-05,1e-05,4e-05,4e-05,0.0,3e-05,4e-05,1e-05,3e-05,2e-05,1e-05,3e-05,0.0,2e-05,3e-05,2e-05,2e-05,2e-05,3e-05,1e-05,3e-05,0.0,1e-05,3e-05,0.0,3e-05,4e-05,0.0
1,3e-05,2e-05,0.0,2e-05,1e-05,2e-05,1e-05,2e-05,2e-05,4e-05,0.0,3e-05,3e-05,1e-05,3e-05,1e-05,1e-05,1e-05,3e-05,1e-05,2e-05,3e-05,2e-05,2e-05,0.0,3e-05,1e-05,4e-05,1e-05,2e-05
0,2e-05,2e-05,3e-05,2e-05,4e-05,3e-05,1e-05,1e-05,2e-05,1e-05,3e-05,1e-05,2e-05,4e-05,2e-05,0.0,1e-05,1e-05,2e-05,2e-05,1e-05,1e-05,4e-05,4e-05,0.0,4e-05,1e-05,1e-05,1e-05,1e-05
0,1e-05,2e-05,1e-05,2e-05,4e-05,0.0,1e-05,1e-05,2e-05,1e-05,0.0,3e-05,1e-05,1e-05,1e-05,4e-05,4e-05,3e-05,4e-05,0.0,2e-05,2e-05,4e-05,3e-05,3e-05,4e-05,4e-05,4e-05,1e-05,1e-05
0,1e-05,2e-05,3e-05,0.0,1e-05,2e-05,3e-05,3e-05,2e-05,4e-05,2e-05,3e-05,1e-05,3e-05,2e-05,2e-05,4e-05,0.0,2e-05,2e-05,4e-05,3e-05,4e-05,1e-05,2e-05,1e-05,3e-05,2e-05,1e-05,2e-05
0,4e-05,1e-05,3e-05,4e-05,1e-05,2e-05,3e-05,1e-05,1e-05,1e-05,2e-05,2e-05,0.0,2e-05,3e-05,4e-05,4e-05,3e-05,3e-05,1e-05,2e-05,2e-05,0.0,1e-05,2e-05,2e-05,3e-05,2e-05,3e-05,2e-05
