cutoff,F1_F2,N1_N2,F2_N1
0.0055,0.9097415304382831,0.09776692316213995,0.7269144660745827
0,0.9189908975421812,0.09831723240330933,0.7215482757606212
0.005,0.5988377584699333,0.10262577317275787,0.40120455468377086
0.004,0.8545255916146925,0.07750544110441786,0.6370175265399809
0.004,0.8447670725355695,0.05062222044533386,0.6355075284574702
0.004,0.8177850571050612,0.08170454872162695,0.591329557304695
0.004,0.8403887392040714,0.09331560483850947,0.6077751152238339
0.004,0.8057909039422364,0.0817211828074455,0.5742286436581324
0.004,0.7987169127976782,0.11000628183145357,0.5838283021601813
0.004,0.8193843529033525,0.06583208630160368,0.5838547123708152
0.004,0.7955404796737485,0.1025097152666651,0.574748680315941
0.004,0.8337427411130739,0.06239363371784567,0.6152996654419788
0.004,0.8171039894428429,0.08402894668412954,0.6021642036656197
0.004,0.7898835513000603,0.07895414744798084,0.5889040737211458
0.004,0.6539189284759186,0.11616396256199418,0.44345468169016483
0.004,0.6450439188699193,0.10380553975594799,0.4684123714003867
0.004,0.7439910222494942,0.10835691162629538,0.49807362105629577
0.004,0.7211257201499809,0.1267096713911554,0.44299440731826073
0.004,0.6200844017368128,0.0950836143881332,0.4123002704632451
0.004,0.3731325423871599,0.04280217935091073,0.31404699879966325
0.004,0.6750238015760291,0.07835312654776594,0.5324025685066648
0.004,0.7528300137949777,0.02930499156840846,0.523759932640858
0.004,0.43518950225521735,0.06958986911243736,0.40012508566636334
0.004,0.7751173206117512,0.04724611620622035,0.531429333203638
0.004,0.8578198876042202,0.013455819531254843,0.6050137518421985
0.004,0.9136418779853573,0.08622896611602222,0.6271482012267691
0.004,0.9491386952396978,0.08560549191503591,0.7404884826438365
