n_sim,top_down,n_env,cor
4,True,15,0.730114487822652
4,True,16,0.8063133955090908
4,True,17,0.8073290937659555
4,True,18,0.7625414715875388
4,True,19,0.7763381022197627
4,True,20,0.7494131734021838
4,True,21,0.7728851673465399
4,False,1,nan
4,False,2,0.38746663977188367
4,False,3,0.3918287235575711
4,False,4,0.40169045958192334
4,False,5,0.3444628829255021
4,False,6,0.45746052994894415
4,False,7,0.5279355860816163
4,False,8,0.321500070160125
4,False,9,0.5269076988354825
4,False,10,0.4858037408656637
4,False,11,0.5794182306481863
4,False,12,0.48776088814895013
4,False,13,0.4729260212571674
4,False,14,0.5894671687225493
4,False,15,0.5928620404292221
4,False,16,0.622513460409447
4,False,17,0.47041188083273583
4,False,18,0.5384198277845411
4,False,19,0.4434528072092442
4,False,20,0.5721063600898179
4,False,21,0.5086501047242968
5,True,1,nan
5,True,2,0.7897775918767012
5,True,3,0.8199512094074097
5,True,4,0.7753756928338389
5,True,5,0.788699584856181
5,True,6,0.8016613326306419
5,True,7,0.7673412112417703
5,True,8,0.7465506132356301
5,True,9,0.7808739576325293
5,True,10,0.7515693866736002
5,True,11,0.7860760374624371
5,True,12,0.8081485925294015
5,True,13,0.8117545932389799
5,True,14,0.7824163691907341
5,True,15,0.7884435139702879
5,True,16,0.7941080723962007
5,True,17,0.7546905881672825
5,True,18,0.7848848731226424
5,True,19,0.7596503366858101
5,True,20,0.7593856474540652
5,True,21,0.8153056521480008
5,False,1,nan
5,False,2,0.33900665386252915
5,False,3,0.5134984436766975
5,False,4,0.4443216471822077
5,False,5,0.5831154137392117
5,False,6,0.5235740705942336
5,False,7,0.34538267561969666
5,False,8,0.30976074614979926
5,False,9,0.5179636903803914
5,False,10,0.4411749180165167
5,False,11,0.5584325946940781
5,False,12,0.6429734563991263
5,False,13,0.5918518342663031
5,False,14,0.43527520021953325
5,False,15,0.3918726077514762
5,False,16,0.5067730134420607
5,False,17,0.41497083493494213
5,False,18,0.49659761611831005
5,False,19,0.4533509127579457
5,False,20,0.6319654354778913
5,False,21,0.7259632760297727
6,True,1,nan
6,True,2,0.862699901708121
6,True,3,0.8319395750691495
6,True,4,0.8259663441810126
6,True,5,0.7684337275797095
6,True,6,0.7662275587848485
6,True,7,0.7437230329884946
6,True,8,0.7937046951451022
6,True,9,0.7952570125464465
6,True,10,0.7726438256620584
6,True,11,0.7565767678421453
6,True,12,0.7745983748631546
6,True,13,0.7840043862883739
6,True,14,0.7652234587825517
6,True,15,0.7323240115241014
6,True,16,0.7817380002672671
6,True,17,0.7533652035745185
6,True,18,0.7632495449738315
6,True,19,0.7985857231717165
6,True,20,0.7999522709136299
6,True,21,0.7773282440751081
6,False,1,nan
6,False,2,0.31850455939708144
6,False,3,0.3804069754923668
6,False,4,0.2633894745155562
6,False,5,0.4843178097037118
6,False,6,0.5215397823615913
6,False,7,0.41688758364880674
6,False,8,0.41474894515371347
6,False,9,0.6252225012246777
6,False,10,0.5406018141933537
6,False,11,0.2764842854422091
6,False,12,0.3192266510357129
6,False,13,0.33833062105243894
6,False,14,0.30364055550924257
6,False,15,0.5725891647942581
6,False,16,0.5458410842163393
6,False,17,0.33634125198769926
6,False,18,0.15571644956542227
6,False,19,0.43666439360453124
6,False,20,0.36488946251055515
6,False,21,0.221072888855596
7,True,1,nan
7,True,2,0.7768419679715398
7,True,3,0.8195406910320464
7,True,4,0.7491618077660306
7,True,5,0.7730789863629418
7,True,6,0.7964301174165235
7,True,7,0.7655931856660849
7,True,8,0.7607466957535791
7,True,9,0.7477917422947412
7,True,10,0.7524550434079424
7,True,11,0.7220324032319969
7,True,12,0.7854040092511256
7,True,13,0.760281571590595
7,True,14,0.7291202492839878
7,True,15,0.760490902056622
7,True,16,0.8014939973764704
7,True,17,0.7477548143605108
7,True,18,0.7587555881570104
7,True,19,0.7596951934987
7,True,20,0.7667458558783012
7,True,21,0.7793762477581954
7,False,1,nan
7,False,2,0.57234203696024
7,False,3,0.3291039386177865
7,False,4,0.5547096127175496
7,False,5,0.5537099359511494
7,False,6,0.21689932976925505
7,False,7,0.3221722049871262
7,False,8,0.23405269568922324
7,False,9,0.574102702251321
7,False,10,0.500137765810128
7,False,11,0.537538797123133
7,False,12,0.7510214690661021
7,False,13,0.3631673952301627
7,False,14,0.38695799239595524
7,False,15,0.6177014815574111
7,False,16,0.40703618979956047
7,False,17,0.5822684396440522
7,False,18,0.428908651789454
7,False,19,0.640447124979038
7,False,20,0.3014031912596218
7,False,21,0.4652953273164495
8,True,1,nan
8,True,2,0.8330782160045961
8,True,3,0.8347704450902967
8,True,4,0.8080712394195927
8,True,5,0.78842550059752
8,True,6,0.7676019946923163
8,True,7,0.7937711551760169
8,True,8,0.7510481169233877
8,True,9,0.7825779123463833
8,True,10,0.7430402245207112
8,True,11,0.8050108070713231
8,True,12,0.7667782905597323
8,True,13,0.7973795671587647
8,True,14,0.7421212445804342
8,True,15,0.7552392839222585
8,True,16,0.7594566359701748
8,True,17,0.8133926755972166
8,True,18,0.7849560733190584
8,True,19,0.7602654513057435
8,True,20,0.780304506433432
8,True,21,0.8103647326328902
8,False,1,nan
8,False,2,0.4180639767095916
8,False,3,0.47642347703784166
8,False,4,0.39431740917687513
8,False,5,0.3095498785095687
8,False,6,0.2918620207120768
8,False,7,0.311369876868752
8,False,8,0.3842591176695359
8,False,9,0.49100639697262277
8,False,10,0.27466466742662604
8,False,11,0.5433950548766852
8,False,12,0.3643937407266056
8,False,13,0.6044318301671502
8,False,14,0.603714625212694
8,False,15,0.23312364620162085
8,False,16,0.5736046832175936
8,False,17,0.2431303935436066
8,False,18,0.5916966283339226
8,False,19,0.33318001696244004
8,False,20,0.411555870634392
8,False,21,0.4894313472080253
9,True,1,nan
9,True,2,0.820522368902067
9,True,3,0.7301059284510806
9,True,4,0.8418564461329502
9,True,5,0.8304681639586702
9,True,6,0.736311680045695
9,True,7,0.7823997197733092
9,True,8,0.7415219702970886
9,True,9,0.7688757028068465
9,True,10,0.8041260900653476
9,True,11,0.7620392886557008
9,True,12,0.8047904438243009
9,True,13,0.7526891218412217
9,True,14,0.7579165302170731
9,True,15,0.7226099224324848
9,True,16,0.7814323464261186
9,True,17,0.7934726346352521
9,True,18,0.7843472933025312
9,True,19,0.7509442414341683
9,True,20,0.7563101520754477
9,True,21,0.7242529137991842
9,False,1,nan
9,False,2,0.36851992661764665
9,False,3,0.5628922942857799
9,False,4,0.5571448996108284
9,False,5,0.3656113652256017
9,False,6,0.5721684041943303
9,False,7,0.48378029398192
9,False,8,0.5574011452014378
9,False,9,-0.006394359006200722
9,False,10,0.5708654443602642
9,False,11,0.4307423864064061
9,False,12,0.47887287287271807
9,False,13,0.3524897617097516
9,False,14,0.6922200525297053
9,False,15,0.4563930676923708
9,False,16,0.42254160894172993
9,False,17,0.43802541165495223
9,False,18,0.32252951731739804
9,False,19,0.5358678864080554
9,False,20,0.6510280448320784
9,False,21,0.48905973556194654
10,True,1,nan
10,True,2,0.8368919026282681
10,True,3,0.7606271509944726
10,True,4,0.7474338182330865
10,True,5,0.8003639209850034
10,True,6,0.7887223901790222
10,True,7,0.7387486491684941
10,True,8,0.7665696273313385
10,True,9,0.7665275124103103
10,True,10,0.7806612874465381
10,True,11,0.7931815378661264
10,True,12,0.7710943183262918
10,True,13,0.7885620471058975
10,True,14,0.7176576526595546
10,True,15,0.776964662792672
10,True,16,0.7586374779690557
10,True,17,0.7978485796146843
10,True,18,0.7461100334882613
10,True,19,0.79166752304925
10,True,20,0.7508840121036302
10,True,21,0.734552080339341
10,False,1,nan
10,False,2,0.350316868857707
10,False,3,0.3998545334465501
10,False,4,0.4602240134217489
10,False,5,0.5334076792184483
10,False,6,0.5662287992702676
10,False,7,0.643654062164414
10,False,8,0.49049493464060073
10,False,9,0.46089933230419533
10,False,10,0.5210858710587413
10,False,11,0.5147908281036078
10,False,12,0.42549211254971486
10,False,13,0.5793125643778682
10,False,14,0.4446168272524728
10,False,15,0.596531129735859
10,False,16,0.4697484500692164
10,False,17,0.1962006736326833
10,False,18,0.3546434393077131
10,False,19,0.6166137619812343
10,False,20,0.4750746134450008
10,False,21,0.35129031692048684
