n_sim,top_down,n_env,cor,n_active
5,True,19,0.08866560046708741,176
5,True,20,0.07312874222809786,179
5,True,21,0.08045289792434612,182
5,False,1,0.8577118858962921,97
5,False,2,0.6340495439598715,100
5,False,3,0.5928009761383596,102
5,False,4,0.5112844872639234,102
5,False,5,0.3139390022129307,108
5,False,6,0.3814927575087929,127
5,False,7,0.3195621770948564,139
5,False,8,0.2641536619722754,157
5,False,9,0.13183183615952876,153
5,False,10,0.12386006656905509,146
5,False,11,0.12459791727581652,147
5,False,12,0.33390704037485297,173
5,False,13,0.17775237151633494,181
5,False,14,0.22848723510291835,171
5,False,15,0.17314908270043258,185
5,False,16,0.14934787445122916,189
5,False,17,0.17767629917677935,154
5,False,18,-0.003232092089758525,154
5,False,19,0.25829214078490836,142
5,False,20,0.0609623481590991,162
5,False,21,0.33418050652716724,173
6,True,1,0.8682038853729598,121
6,True,2,0.5754128206421667,141
6,True,3,0.5731355268450915,132
6,True,4,0.5026985426148884,153
6,True,5,0.4809539834158708,166
6,True,6,0.42947681655255593,164
6,True,7,0.3938229001985714,178
6,True,8,0.3547446766364271,183
6,True,9,0.3173089119126671,188
6,True,10,0.25869931327335566,190
6,True,11,0.23264272064393574,191
6,True,12,0.20899373857493295,193
6,True,13,0.2049352661080807,194
6,True,14,0.17025838739347113,197
6,True,15,0.15924411353622095,198
6,True,16,0.13192881861811684,199
6,True,17,0.12051699007507682,200
6,True,18,0.10811795231904958,189
6,True,19,0.08535390654171629,193
6,True,20,0.07218704792701588,188
6,True,21,0.06354007058606716,189
6,False,1,0.8562175405012851,100
6,False,2,0.5722829067340048,107
6,False,3,0.5475324940390331,106
6,False,4,0.38596465794167395,126
6,False,5,0.39814745181041333,111
6,False,6,0.35207644381354813,135
6,False,7,0.2851115142366515,169
6,False,8,0.3428974591992451,133
6,False,9,0.1888792565738974,130
6,False,10,0.2648075266184638,131
6,False,11,0.24722179056691718,150
6,False,12,0.2643040667535234,160
6,False,13,0.007494380964770624,157
6,False,14,0.09874241472071214,135
6,False,15,0.055151469169648394,153
6,False,16,0.11647213049628928,181
6,False,17,0.14230152160546017,132
6,False,18,0.05954130566095067,143
6,False,19,0.2886291156961293,116
6,False,20,0.11495089161906134,170
6,False,21,0.17920069989273252,183
7,True,1,0.873025868947451,120
7,True,2,0.589931107858516,149
7,True,3,0.5216128411626345,168
7,True,4,0.4701306424003756,174
7,True,5,0.42620358168677963,183
7,True,6,0.39345180466248425,174
7,True,7,0.375217887790317,183
7,True,8,0.3414697733714284,188
7,True,9,0.29828000164922447,186
7,True,10,0.27887554573083595,187
7,True,11,0.22939151378812994,176
7,True,12,0.2117584597214312,179
7,True,13,0.1989769676641732,172
7,True,14,0.16927513626918325,181
7,True,15,0.15837902508592636,164
7,True,16,0.14062895285738888,177
7,True,17,0.141756105815781,178
7,True,18,0.12445456986271468,174
7,True,19,0.12834244096284922,180
7,True,20,0.12841245330961623,179
7,True,21,0.0949869090307973,181
7,False,1,0.8604884952706644,100
7,False,2,0.7387208792634128,99
7,False,3,0.33299312173251217,111
7,False,4,0.32157042630346366,134
7,False,5,0.3477377696896918,126
7,False,6,0.17645974232839523,127
7,False,7,0.17642864333134856,142
7,False,8,0.24416330793795307,185
7,False,9,0.0847011026408681,199
7,False,10,0.08002068128639037,191
7,False,11,0.0755629914391153,189
7,False,12,0.13310326980730977,140
7,False,13,0.19916187224172469,137
7,False,14,0.12500777646779895,160
7,False,15,0.19024583570271678,133
7,False,16,0.04705340623206161,139
7,False,17,0.1980304599612449,181
7,False,18,0.3154673710108034,115
7,False,19,0.14347521398579288,83
7,False,20,0.10229544009158993,79
7,False,21,0.25900778515183803,108
