n_sim,top_down,n_env,cor
7,True,9,0.5438897815785624
7,True,10,0.510713024543168
7,True,11,0.552520123789449
7,True,12,0.5873196211249097
7,True,13,0.5753699001498309
7,True,14,0.5610593736146049
7,True,15,0.514317232376114
7,True,16,0.5663571502539683
7,True,17,0.5440557486039282
7,True,18,0.5676458945454477
7,True,19,0.5617555238257544
7,True,20,0.5876601763688224
7,True,21,0.5358608634010965
7,False,1,nan
7,False,2,0.5098454272383703
7,False,3,0.3574811472795755
7,False,4,0.31705178684744245
7,False,5,0.35284284111002295
7,False,6,0.4381624034418457
7,False,7,0.42949905650427106
7,False,8,0.5969087435324365
7,False,9,0.6320285162194924
7,False,10,0.5580218558485488
7,False,11,0.3592899454626875
7,False,12,0.4932531935447188
7,False,13,0.4622787626165942
7,False,14,0.6223359508839703
7,False,15,0.6331473717000834
7,False,16,0.5058399578525858
7,False,17,0.5632203774921024
7,False,18,0.41185784474833004
7,False,19,0.5277067900050676
7,False,20,0.5145450264265433
7,False,21,0.5144054215390285
8,True,1,nan
8,True,2,0.5594388982216953
8,True,3,0.500166065960048
8,True,4,0.5597042115195582
8,True,5,0.55552213105233
8,True,6,0.5465179344698902
8,True,7,0.5424988465181366
8,True,8,0.5304074777669616
8,True,9,0.5421178189922826
8,True,10,0.6006132047518855
8,True,11,0.5345480165047078
8,True,12,0.5086338930992573
8,True,13,0.5258017654434707
8,True,14,0.5860606547983279
8,True,15,0.558560762957574
8,True,16,0.5623325002443976
8,True,17,0.5394223745105333
8,True,18,0.5498292157024767
8,True,19,0.5785089656670357
8,True,20,0.5815524583070772
8,True,21,0.5610278666255989
8,False,1,nan
8,False,2,0.24044288338889305
8,False,3,0.06785172122007027
8,False,4,0.5760189019585467
8,False,5,0.5337079021056805
8,False,6,0.3662446425329996
8,False,7,0.3689818728728087
8,False,8,0.24060129703687627
8,False,9,0.5637683387323178
8,False,10,0.2785585373114118
8,False,11,0.2605932397171045
8,False,12,0.5319550405188801
8,False,13,0.5757652743307424
8,False,14,0.5659636784858668
8,False,15,0.3061933414974747
8,False,16,0.2820055692680306
8,False,17,0.30110942338836855
8,False,18,0.17373234182570954
8,False,19,0.5173156085486634
8,False,20,0.4917095917916089
8,False,21,0.49730080366497864
9,True,1,nan
9,True,2,0.5036103965174309
9,True,3,0.5618106992464499
9,True,4,0.5818240888823607
9,True,5,0.5379318341486197
9,True,6,0.5186919751285858
9,True,7,0.5522183075876083
9,True,8,0.5507395518577132
9,True,9,0.6085254725671271
9,True,10,0.5286227919632687
9,True,11,0.5453376313537671
9,True,12,0.509534522721172
9,True,13,0.5209039606359372
9,True,14,0.5581483480429076
9,True,15,0.5614493840279496
9,True,16,0.5050966980230398
9,True,17,0.5553624258556192
9,True,18,0.5381379902887234
9,True,19,0.6151453040416967
9,True,20,0.5339626930655166
9,True,21,0.6076720159220275
9,False,1,nan
9,False,2,0.4855577769548879
9,False,3,0.4874813590180421
9,False,4,0.3715570149529748
9,False,5,0.41458656584769826
9,False,6,0.26853669760814664
9,False,7,0.508100173354414
9,False,8,0.5604056218553336
9,False,9,0.3692371885374741
9,False,10,0.34008052440637254
9,False,11,0.3135545185948724
9,False,12,0.4531308449829011
9,False,13,0.5012972387549195
9,False,14,0.5311111991820444
9,False,15,0.5207427459685455
9,False,16,0.4759158360923193
9,False,17,0.5602021695002656
9,False,18,0.41567955078710905
9,False,19,0.5641343785044266
9,False,20,0.24211995998214272
9,False,21,0.5339530607737321
10,True,1,nan
10,True,2,0.5505731937642753
10,True,3,0.5825712846737792
10,True,4,0.5419340992010641
10,True,5,0.5764489487153924
10,True,6,0.5324342318367294
10,True,7,0.5597272452112058
10,True,8,0.5550672188202782
10,True,9,0.5360028883153465
10,True,10,0.5252899314508489
10,True,11,0.5663334677218268
10,True,12,0.5469863658698791
10,True,13,0.5752890731110938
10,True,14,0.5290587521977026
10,True,15,0.591939204688347
10,True,16,0.5240868928362541
10,True,17,0.5623162473140303
10,True,18,0.519740240188422
10,True,19,0.5767985809075198
10,True,20,0.5310760103856538
10,True,21,0.5994684980356519
10,False,1,nan
10,False,2,0.4020033928094562
10,False,3,0.35257735897177944
10,False,4,0.48042167321433304
10,False,5,0.3394997097248776
10,False,6,0.40987924221093613
10,False,7,0.4685364268803848
10,False,8,0.41309709058184585
10,False,9,0.5182082621393187
10,False,10,0.4464914822950519
10,False,11,0.47915960155713677
10,False,12,0.25748610597113286
10,False,13,0.2553746878517082
10,False,14,0.490792016526277
10,False,15,0.48090951248130437
10,False,16,0.46144510559700913
10,False,17,0.5078306722847552
10,False,18,0.3085529004987989
10,False,19,0.5724087126295883
10,False,20,0.6200729643831545
10,False,21,0.5814111943429842
