n_sim,top_down,n_env,cor
3,False,20,0.7093141712766317
3,False,21,0.7083514623070123
4,True,1,0.9003371807682307
4,True,2,0.712533979345196
4,True,3,0.7727879379763776
4,True,4,0.659203061144943
4,True,5,0.7395575345010701
4,True,6,0.7892841930836956
4,True,7,0.6534010115381139
4,True,8,0.5897658587784176
4,True,9,0.7288590091486694
4,True,10,0.7532832707446977
4,True,11,0.6413166662197815
4,True,12,0.7088342998374456
4,True,13,0.7339430808089453
4,True,14,0.7597569449078935
4,True,15,0.6962503091975571
4,True,16,0.7756358991582856
4,True,17,0.7384358583307248
4,True,18,0.7196684743014481
4,True,19,0.704064941166536
4,True,20,0.6149418350571925
4,True,21,0.7486887924759614
4,False,1,0.8548698050061561
4,False,2,0.7408712665300606
4,False,3,0.4911972286530377
4,False,4,0.6277713325133774
4,False,5,0.8246522708123721
4,False,6,0.75636482246019
4,False,7,0.5670850208538052
4,False,8,0.6281260909725817
4,False,9,0.4454136036179206
4,False,10,0.7813433203971267
4,False,11,0.6820583868507418
4,False,12,0.5073670826067174
4,False,13,0.6894834675261984
4,False,14,0.6186140834238726
4,False,15,0.7420824047128873
4,False,16,0.6074803680181241
4,False,17,0.8145287570357022
4,False,18,0.8184342652386075
4,False,19,0.5262193515086289
4,False,20,0.8091812804452064
4,False,21,0.8328672232344391
5,True,1,0.7509901511748819
5,True,2,0.7019153252921249
5,True,3,0.6339778434940979
5,True,4,0.6312901242914799
5,True,5,0.7933282181276502
5,True,6,0.606993408390888
5,True,7,0.6181160438725591
5,True,8,0.7127395973306783
5,True,9,0.6594102306180798
5,True,10,0.6824721121852483
5,True,11,0.7241351092867231
5,True,12,0.6983844076052972
5,True,13,0.7223436004737164
5,True,14,0.7088812943207481
5,True,15,0.6684433427334128
5,True,16,0.7878283597532147
5,True,17,0.7305514659575895
5,True,18,0.7348682252537471
5,True,19,0.6288887740382281
5,True,20,0.7532981618381654
5,True,21,0.757281999928903
5,False,1,0.8769496259472951
5,False,2,0.7499952354752137
5,False,3,0.6842288236097809
